Open,Close,High,Low,Volume
"42,93","42,6","42,96","42,56",729738
"42,6","43,05","43,15","42,6",660183
"42,93","42,56","42,96","42,27",1875091
"42,62","42,94","43,66","42,62",952768
"42,9","42,7","43,15","42,62",402361
"42,77","42,21","42,84","41,98",785376
"42,25","41,8","42,31","41,8",750010
"42,05","42,21","42,49","41,94",584456
"42,77","42,33","42,9","42,26",468120
"42,2","42,23","42,3","41,8",727339
"42,41","42,69","43,03","42,41",708989
"42,93","42,91","43,32","42,75",380643
"42,97","42,82","43,4","42,69",367796
